timestamp_ms,latency_ms,ok
1772464728061,54.115,1
1772464728116,54.054,1
1772464728171,52.289,1
1772464728224,52.434,1
1772464728277,52.064,1
1772464728329,51.606,1
1772464728382,52.763,1
1772464728435,54.822,1
1772464728491,53.980,1
1772464728545,52.522,1
1772464728599,52.317,1
1772464728652,52.701,1
1772464728705,52.327,1
1772464728758,52.120,1
1772464728812,51.663,1
1772464728864,51.642,1
1772464728916,53.004,1
1772464728970,52.379,1
1772464729023,51.690,1
1772464729076,52.336,1
1772464729129,52.374,1
1772464729182,57.888,1
1772464729240,54.861,1
1772464729296,52.596,1
1772464729349,51.761,1
1772464729401,52.636,1
1772464729454,53.330,1
1772464729508,52.972,1
1772464729561,54.565,1
1772464729616,53.493,1
1772464729670,53.797,1
1772464729725,53.370,1
1772464729779,52.828,1
1772464729833,53.929,1
1772464729888,53.362,1
1772464729943,52.528,1
1772464729996,53.284,1
1772464730050,162.782,1
1772464730214,60.278,1
1772464730274,53.623,1
1772464730329,53.424,1
1772464730382,52.550,1
1772464730436,54.733,1
1772464730492,54.123,1
1772464730547,54.823,1
1772464730603,53.866,1
1772464730657,54.371,1
1772464730712,52.562,1
1772464730765,51.596,1
1772464730818,51.771,1
1772464730870,52.016,1
1772464730923,55.496,1
1772464730980,53.634,1
1772464731034,52.636,1
1772464731087,52.676,1
1772464731141,51.980,1
1772464731193,52.433,1
1772464731246,53.544,1
1772464731300,52.077,1
1772464731353,54.838,1
1772464731408,52.508,1
1772464731462,53.127,1
1772464731515,53.310,1
1772464731569,54.598,1
1772464731624,52.855,1
1772464731678,52.643,1
1772464731731,54.469,1
1772464731786,52.469,1
1772464731839,53.308,1
1772464731893,52.350,1
1772464731946,53.350,1
1772464732000,52.029,1
1772464732052,53.956,1
1772464732106,53.360,1
1772464732160,53.225,1
1772464732214,52.738,1
1772464732267,53.187,1
1772464732321,58.147,1
1772464732380,55.289,1
1772464732435,53.733,1
1772464732490,53.677,1
1772464732544,54.409,1
1772464732599,53.232,1
1772464732652,54.304,1
1772464732707,55.092,1
1772464732764,53.095,1
1772464732818,53.814,1
1772464732872,52.092,1
1772464732925,52.721,1
1772464732978,53.650,1
1772464733032,53.796,1
1772464733087,54.797,1
1772464733142,54.689,1
1772464733198,53.110,1
1772464733251,52.697,1
1772464733304,53.235,1
1772464733358,53.141,1
1772464733411,52.969,1
1772464733464,52.791,1
1772464733518,53.441,1
1772464733572,53.871,1
1772464733627,53.595,1
1772464733681,53.597,1
1772464733735,52.117,1
1772464733788,53.942,1
1772464733842,51.907,1
1772464733895,51.885,1
1772464733947,52.662,1
1772464734000,53.282,1
1772464734054,51.837,1
1772464734106,51.942,1
1772464734159,51.988,1
1772464734212,52.142,1
1772464734264,52.748,1
1772464734318,52.419,1
1772464734371,52.409,1
1772464734423,52.199,1
1772464734477,54.751,1
1772464734532,57.203,1
1772464734590,55.559,1
1772464734646,53.397,1
1772464734700,54.806,1
1772464734755,54.198,1
1772464734810,52.906,1
1772464734863,53.127,1
1772464734918,53.479,1
1772464734972,52.842,1
1772464735026,53.536,1
1772464735081,54.373,1
1772464735136,52.745,1
1772464735189,53.586,1
1772464735243,52.722,1
1772464735296,51.798,1
1772464735350,53.502,1
1772464735404,52.880,1
1772464735457,52.604,1
1772464735510,53.841,1
1772464735564,54.154,1
1772464735619,52.922,1
1772464735673,53.925,1
1772464735727,98.281,1
1772464735827,59.031,1
1772464735888,53.046,1
1772464735942,52.905,1
1772464735995,53.423,1
1772464736049,54.508,1
1772464736104,52.633,1
1772464736157,51.588,1
1772464736209,52.486,1
1772464736262,51.825,1
1772464736315,52.617,1
1772464736369,52.292,1
1772464736422,51.751,1
1772464736474,55.173,1
1772464736529,53.507,1
1772464736583,52.250,1
1772464736636,53.532,1
1772464736690,52.330,1
1772464736743,53.172,1
1772464736797,52.726,1
1772464736850,52.307,1
1772464736903,52.285,1
1772464736956,52.302,1
1772464737009,52.192,1
1772464737061,52.470,1
1772464737115,55.681,1
1772464737171,53.833,1
1772464737225,51.914,1
1772464737278,53.689,1
1772464737332,52.387,1
1772464737385,53.090,1
1772464737439,53.139,1
1772464737494,52.295,1
1772464737547,52.519,1
1772464737600,53.170,1
1772464737654,52.247,1
1772464737707,53.009,1
1772464737760,53.013,1
1772464737814,54.678,1
1772464737868,52.608,1
1772464737921,52.474,1
1772464737974,54.128,1
1772464738029,52.308,1
1772464738082,57.342,1
1772464738139,54.501,1
1772464738194,53.615,1
1772464738248,52.483,1
1772464738301,52.964,1
1772464738355,51.921,1
1772464738407,52.813,1
1772464738462,53.876,1
1772464738517,59.718,1
1772464738577,63.502,1
1772464738641,52.663,1
1772464738694,52.000,1
1772464738747,52.312,1
1772464738799,52.941,1
1772464738852,51.741,1
1772464738905,53.070,1
1772464738959,52.309,1
1772464739012,51.798,1
1772464739064,52.004,1
1772464739116,52.792,1
1772464739169,52.989,1
1772464739223,52.294,1
1772464739277,55.028,1
1772464739332,53.774,1
1772464739386,56.004,1
1772464739442,53.055,1
1772464739496,54.058,1
1772464739551,51.786,1
1772464739603,53.772,1
